'Thirumangalam Bus Stand', 9.826763, 77.990506
'Maravankulam', 9.832954, 77.996682
'Kappalur', 9.848381, 78.015210
'Thiagarajar Mills', 9.852567, 78.016463
'Kappalur Colony', 9.856682, 78.017882
'Koothiyargundu', 9.869108, 78.024910
'Thoppur', 9.8719876, 78.0232671
'Thanakankulam', 9.882692, 78.035624
Thirunagar III', 9.882277, 78.052745
'Thirunagar II', 9.881113, 78.055666
'Thirunagar I', 9.880839, 78.058620
'Harveypatti', 9.880659, 78.061946
'Thiruparangundam', 9.882530, 78.070972
'TCE', 9.884823, 78.072747
'Moolakarai', 9.8933442, 78.0778218
'Pasumalai', 9.894436, 78.082579
'Pykara', 9.897896, 78.089405
'Alagappan nagar', 9.900236, 78.093221
'Palanganatham', 9.902838, 78.096229
'Vasantha Nagar', 9.907149, 78.098355
'PRC RTO Office', 9.9139515, 78.0953407
'Ram Nagar', 9.918452, 78.093951
'Ponmeni', 9.922148, 78.093760
'Chokalinga nagar', 9.926796, 78.094702
'Kalavasal', 9.929435, 78.095334
'Guru Theater', 9.936342, 78.097384
'Arapalayam', 9.935143, 78.103668
'Andalpuram', 9.908160, 78.102844
'Madura College', 9.909227, 78.109248 
'Periyar', 9.915979, 78.110875
'Railway Station', 9.918884, 78.111650
'Sethupathi', 9.924015, 78.113773
'Simakkal', 9.924831, 78.121157
'Goripalayam', 9.929651, 78.130066
'Thamukkam', 9.931520, 78.132608
'Thallakulam', 9.934444, 78.135776
'Outpost', 9.937061, 78.137837
'Court', 9.936620, 78.142274
'Market', 9.942334, 78.151723
'MGR', 9.944425, 78.156120
'Narimedu', 9.936004, 78.127550
'Bibikulam', 9.941603, 78.129400
'Viswanathapuram', 9.952730, 78.129385
'Valuvar Colony', 9.958360, 78.128381
'Kalai Nagar', 9.960368, 78.127963
'Thapalthandi Nagar', 9.965239, 78.126622
'Park Town', 9.967691, 78.126612
'Railway Colony', 9.919887, 78.107397
'Arasaradi', 9.927321, 78.099556
